timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-08-09,61686.0000000000,61744.3700000000,59535.0000000000,60837.9900000000,30972.4801700000,621.1282940300,0.4375712400,0.0035836300,10.4982165400,0.0000005300
2024-08-10,60837.9900000000,61470.5800000000,60242.0000000000,60923.5100000000,9995.2062100000,803.7671241200,0.4654082800,-0.0012251700,30.8189573200,0.0000015600
2024-08-11,60923.5100000000,61858.0000000000,58286.7300000000,58712.5900000000,19189.8451200000,-209.7612375900,0.5937840400,0.0013258200,4.9323674900,0.0000002500
2024-08-12,58712.5900000000,60711.0900000000,57642.2100000000,59346.6400000000,37009.9174300000,2955.1726250200,0.3854115200,0.0044198200,8.7605715000,0.0000004400
2024-08-13,59346.6400000000,61578.1000000000,58392.8800000000,60587.1500000000,27858.9585100000,-1381.0213339900,0.4061697700,0.0005826800,7.9482621900,0.0000004000
2024-08-14,60587.1600000000,61800.0000000000,58433.1800000000,58683.3900000000,28422.7632600000,-1903.8827691600,0.3727249500,-0.0049670100,5.7526533700,0.0000002900
2024-08-15,58683.3900000000,59849.3800000000,56078.5400000000,57541.0600000000,37686.1762200000,-4797.9921206900,0.3797676900,-0.0037811900,10.6050323500,0.0000005400
2024-08-16,57541.0500000000,59817.7600000000,57098.6200000000,58874.6000000000,27610.8434400000,-3604.6621810800,0.4312367100,-0.0039217300,8.3123434300,0.0000004200
2024-08-17,58874.5900000000,59700.0000000000,58785.0500000000,59491.9900000000,7721.7293100000,942.9191318100,0.4073123500,0.0026239100,5.8351563400,0.0000003000
2024-08-18,59491.9900000000,60284.9900000000,58408.9200000000,58427.3500000000,13634.8571700000,474.6620841300,0.4734964600,-0.0013638600,7.2494585600,0.0000003700
2024-08-19,58427.3500000000,59617.6300000000,57787.3000000000,59438.5000000000,22809.3125100000,-330.4269981000,0.3576372500,-0.0049300400,8.8905997400,0.0000004500
2024-08-20,59438.5000000000,61400.0000000000,58548.2300000000,59013.8000000000,31477.4454800000,-397.1276352300,0.3685945400,-0.0014906100,8.8330967300,0.0000004500
2024-08-21,59013.8000000000,61820.9300000000,58783.4700000000,61156.0300000000,27983.6422000000,-3054.1469113600,0.3429093400,-0.0018008500,11.2737888300,0.0000005700
